x,y,z,|F|^2,Fx,Fy,Fz
-0.1523896276,-0.7619481378,-2.285844414,7.273084688e-05,-0.002378850954,0.008189614223,-4.619419479e-05
0.1523896276,-0.7619481378,-2.285844414,7.273084688e-05,0.002378850954,0.008189614223,-4.619419478e-05
-0.4571688827,-0.4571688827,-2.285844414,6.145204417e-05,-0.001819099749,0.007625096496,-2.870030381e-05
-0.1523896276,-0.4571688827,-2.285844414,5.351890506e-06,0.0003277421947,0.00229007528,5.547072098e-06
0.1523896276,-0.4571688827,-2.285844414,5.351890506e-06,-0.0003277421947,0.00229007528,5.547072102e-06
0.4571688827,-0.4571688827,-2.285844414,6.145204417e-05,0.001819099749,0.007625096496,-2.870030379e-05
-0.7619481378,-0.1523896276,-2.285844414,2.29485591e-05,-0.001099498267,0.004653202691,-0.0002955797282
-0.4571688827,-0.1523896276,-2.285844414,2.741358306e-06,0.0002253314743,0.001632565009,-0.0001591085267
-0.1523896276,-0.1523896276,-2.285844414,1.868239815e-07,-5.537492844e-05,0.0004263725739,-4.431734472e-05
0.1523896276,-0.1523896276,-2.285844414,1.868239815e-07,5.537492847e-05,0.0004263725739,-4.431734471e-05
0.4571688827,-0.1523896276,-2.285844414,2.741358306e-06,-0.0002253314743,0.001632565009,-0.0001591085267
0.7619481378,-0.1523896276,-2.285844414,2.29485591e-05,0.001099498267,0.004653202691,-0.0002955797282
-0.7619481378,0.1523896276,-2.285844414,2.29485591e-05,-0.001099498267,-0.004653202691,-0.0002955797282
-0.4571688827,0.1523896276,-2.285844414,2.741358306e-06,0.0002253314743,-0.001632565009,-0.0001591085267
-0.1523896276,0.1523896276,-2.285844414,1.868239815e-07,-5.537492844e-05,-0.0004263725739,-4.431734471e-05
0.1523896276,0.1523896276,-2.285844414,1.868239815e-07,5.537492847e-05,-0.0004263725739,-4.431734471e-05
0.4571688827,0.1523896276,-2.285844414,2.741358306e-06,-0.0002253314743,-0.001632565009,-0.0001591085267
0.7619481378,0.1523896276,-2.285844414,2.29485591e-05,0.001099498267,-0.004653202691,-0.0002955797282
-0.4571688827,0.4571688827,-2.285844414,6.145204417e-05,-0.001819099749,-0.007625096496,-2.870030376e-05
-0.1523896276,0.4571688827,-2.285844414,5.351890506e-06,0.0003277421947,-0.00229007528,5.547072119e-06
0.1523896276,0.4571688827,-2.285844414,5.351890506e-06,-0.0003277421947,-0.00229007528,5.547072117e-06
0.4571688827,0.4571688827,-2.285844414,6.145204417e-05,0.001819099749,-0.007625096496,-2.870030378e-05
-0.1523896276,0.7619481378,-2.285844414,7.273084688e-05,-0.002378850954,-0.008189614223,-4.619419474e-05
0.1523896276,0.7619481378,-2.285844414,7.273084688e-05,0.002378850954,-0.008189614223,-4.619419475e-05
-0.1523896276,-1.371506648,-1.981065158,7.844726462e-05,-0.002362723358,0.008527582876,0.0003809635807
0.1523896276,-1.371506648,-1.981065158,7.844726462e-05,0.002362723358,0.008527582876,0.0003809635807
-0.7619481378,-1.066727393,-1.981065158,6.619571859e-05,-0.002124928894,0.007843861156,0.0003927313941
-0.4571688827,-1.066727393,-1.981065158,4.987763885e-05,0.0003130156883,0.007002806147,0.0008604452919
-0.1523896276,-1.066727393,-1.981065158,4.566921134e-06,0.0001565799405,0.002115842786,-0.0002561506643
0.1523896276,-1.066727393,-1.981065158,4.566921134e-06,-0.0001565799405,0.002115842786,-0.0002561506643
0.4571688827,-1.066727393,-1.981065158,4.987763885e-05,-0.0003130156883,0.007002806147,0.0008604452919
0.7619481378,-1.066727393,-1.981065158,6.619571859e-05,0.002124928894,0.007843861156,0.0003927313941
-1.066727393,-0.7619481378,-1.981065158,7.240924316e-05,-0.001351625381,0.008394195467,0.0003461711261
-0.7619481378,-0.7619481378,-1.981065158,9.158496319e-06,0.0003463951237,0.002990832983,0.0003056547179
-0.4571688827,-0.7619481378,-1.981065158,7.187175854e-06,5.847114858e-05,0.002680076457,-3.077599929e-05
-0.1523896276,-0.7619481378,-1.981065158,2.414542923e-06,-2.002880743e-05,-0.0001872437652,0.001542427159
0.1523896276,-0.7619481378,-1.981065158,2.414542923e-06,2.002880745e-05,-0.0001872437652,0.001542427159
0.4571688827,-0.7619481378,-1.981065158,7.187175853e-06,-5.847114856e-05,0.002680076457,-3.077599928e-05
0.7619481378,-0.7619481378,-1.981065158,9.158496318e-06,-0.0003463951237,0.002990832983,0.0003056547179
1.066727393,-0.7619481378,-1.981065158,7.240924316e-05,0.001351625381,0.008394195467,0.0003461711261
-1.066727393,-0.4571688827,-1.981065158,1.212915532e-05,-0.002019902079,0.002837102539,-3.124437672e-07
-0.7619481378,-0.4571688827,-1.981065158,2.923813149e-07,0.000271484876,0.000433387867,-0.0001756480396
-0.4571688827,-0.4571688827,-1.981065158,1.604024284e-06,0.0001346789697,6.622432057e-05,0.001257577114
-0.1523896276,-0.4571688827,-1.981065158,1.815079281e-06,8.289192772e-05,-0.000117883039,0.001339519242
0.1523896276,-0.4571688827,-1.981065158,1.815079281e-06,-8.28919277e-05,-0.0001178830391,0.001339519242
0.4571688827,-0.4571688827,-1.981065158,1.604024284e-06,-0.0001346789696,6.622432055e-05,0.001257577114
0.7619481378,-0.4571688827,-1.981065158,2.923813149e-07,-0.0002714848759,0.0004333878669,-0.0001756480396
1.066727393,-0.4571688827,-1.981065158,1.212915532e-05,0.002019902079,0.002837102539,-3.124437511e-07
-1.371506648,-0.1523896276,-1.981065158,2.406418512e-05,-0.0008996853678,0.004819250067,-0.0001719888079
-1.066727393,-0.1523896276,-1.981065158,1.810804795e-07,0.0002901394221,-0.0001287537368,0.0002834114862
-0.7619481378,-0.1523896276,-1.981065158,1.669376773e-06,0.0001552177435,-0.0005929305784,0.001137417054
-0.4571688827,-0.1523896276,-1.981065158,1.467834351e-06,0.0001001394916,-8.993358594e-05,0.001204042517
-0.1523896276,-0.1523896276,-1.981065158,1.619231349e-06,2.060685969e-05,-7.188397019e-05,0.001270291069
