 >TARPBXN : slab+disk; XS2,XS3,YS,ZS= 15.0000  0.0000 24.0000 24.0000
      9312 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    180   5  -3   2 1 1 1
    181   0  -3   3 1 1 1
    182   1  -3   3 1 1 1
    183   2  -3   3 1 1 1
    184   3  -3   3 1 1 1
    185   4  -3   3 1 1 1
    186   5  -3   3 1 1 1
    187   0  -3   4 1 1 1
    188   1  -3   4 1 1 1
    189   2  -3   4 1 1 1
    190   3  -3   4 1 1 1
    191   4  -3   4 1 1 1
    192   5  -3   4 1 1 1
    193   0  -2  -6 1 1 1
    194   1  -2  -6 1 1 1
    195   2  -2  -6 1 1 1
    196   3  -2  -6 1 1 1
    197   4  -2  -6 1 1 1
    198   5  -2  -6 1 1 1
    199   0  -2  -5 1 1 1
    200   1  -2  -5 1 1 1
    201   2  -2  -5 1 1 1
    202   3  -2  -5 1 1 1
    203   4  -2  -5 1 1 1
    204   5  -2  -5 1 1 1
    205   0  -2  -4 1 1 1
    206   1  -2  -4 1 1 1
    207   2  -2  -4 1 1 1
    208   3  -2  -4 1 1 1
    209   4  -2  -4 1 1 1
    210   5  -2  -4 1 1 1
    211   0  -2  -3 1 1 1
    212   1  -2  -3 1 1 1
    213   2  -2  -3 1 1 1
    214   3  -2  -3 1 1 1
    215   4  -2  -3 1 1 1
    216   5  -2  -3 1 1 1
    217   0  -2  -2 1 1 1
    218   1  -2  -2 1 1 1
    219   2  -2  -2 1 1 1
    220   3  -2  -2 1 1 1
    221   4  -2  -2 1 1 1
    222   5  -2  -2 1 1 1
    223   0  -2  -1 1 1 1
    224   1  -2  -1 1 1 1
    225   2  -2  -1 1 1 1
    226   3  -2  -1 1 1 1
    227   4  -2  -1 1 1 1
    228   5  -2  -1 1 1 1
    229   0  -2   0 1 1 1
    230   1  -2   0 1 1 1
    231   2  -2   0 1 1 1
    232   3  -2   0 1 1 1
    233   4  -2   0 1 1 1
    234   5  -2   0 1 1 1
    235   0  -2   1 1 1 1
    236   1  -2   1 1 1 1
    237   2  -2   1 1 1 1
    238   3  -2   1 1 1 1
    239   4  -2   1 1 1 1
    240   5  -2   1 1 1 1
    241   0  -2   2 1 1 1
    242   1  -2   2 1 1 1
    243   2  -2   2 1 1 1
    244   3  -2   2 1 1 1
    245   4  -2   2 1 1 1
    246   5  -2   2 1 1 1
    247   0  -2   3 1 1 1
    248   1  -2   3 1 1 1
    249   2  -2   3 1 1 1
    250   3  -2   3 1 1 1
    251   4  -2   3 1 1 1
    252   5  -2   3 1 1 1
    253   0  -2   4 1 1 1
    254   1  -2   4 1 1 1
    255   2  -2   4 1 1 1
