 >TARELL  ellipsoidal grain; AX,AY,AZ= 49.4900 49.4900 49.4900
     63461 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.00000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
   4021   14   -5  -17 1 1 1
   4022   15   -5  -17 1 1 1
   4023   16   -5  -17 1 1 1
   4024   17   -5  -17 1 1 1
   4025  -17   -4  -17 1 1 1
   4026  -16   -4  -17 1 1 1
   4027  -15   -4  -17 1 1 1
   4028  -14   -4  -17 1 1 1
   4029  -13   -4  -17 1 1 1
   4030  -12   -4  -17 1 1 1
   4031  -11   -4  -17 1 1 1
   4032  -10   -4  -17 1 1 1
   4033   -9   -4  -17 1 1 1
   4034   -8   -4  -17 1 1 1
   4035   -7   -4  -17 1 1 1
   4036   -6   -4  -17 1 1 1
   4037   -5   -4  -17 1 1 1
   4038   -4   -4  -17 1 1 1
   4039   -3   -4  -17 1 1 1
   4040   -2   -4  -17 1 1 1
   4041   -1   -4  -17 1 1 1
   4042    0   -4  -17 1 1 1
   4043    1   -4  -17 1 1 1
   4044    2   -4  -17 1 1 1
   4045    3   -4  -17 1 1 1
   4046    4   -4  -17 1 1 1
   4047    5   -4  -17 1 1 1
   4048    6   -4  -17 1 1 1
   4049    7   -4  -17 1 1 1
   4050    8   -4  -17 1 1 1
   4051    9   -4  -17 1 1 1
   4052   10   -4  -17 1 1 1
   4053   11   -4  -17 1 1 1
   4054   12   -4  -17 1 1 1
   4055   13   -4  -17 1 1 1
   4056   14   -4  -17 1 1 1
   4057   15   -4  -17 1 1 1
   4058   16   -4  -17 1 1 1
   4059   17   -4  -17 1 1 1
   4060  -17   -3  -17 1 1 1
   4061  -16   -3  -17 1 1 1
   4062  -15   -3  -17 1 1 1
   4063  -14   -3  -17 1 1 1
   4064  -13   -3  -17 1 1 1
   4065  -12   -3  -17 1 1 1
   4066  -11   -3  -17 1 1 1
   4067  -10   -3  -17 1 1 1
   4068   -9   -3  -17 1 1 1
   4069   -8   -3  -17 1 1 1
   4070   -7   -3  -17 1 1 1
   4071   -6   -3  -17 1 1 1
   4072   -5   -3  -17 1 1 1
   4073   -4   -3  -17 1 1 1
   4074   -3   -3  -17 1 1 1
   4075   -2   -3  -17 1 1 1
   4076   -1   -3  -17 1 1 1
   4077    0   -3  -17 1 1 1
   4078    1   -3  -17 1 1 1
   4079    2   -3  -17 1 1 1
   4080    3   -3  -17 1 1 1
   4081    4   -3  -17 1 1 1
   4082    5   -3  -17 1 1 1
   4083    6   -3  -17 1 1 1
   4084    7   -3  -17 1 1 1
   4085    8   -3  -17 1 1 1
   4086    9   -3  -17 1 1 1
   4087   10   -3  -17 1 1 1
   4088   11   -3  -17 1 1 1
   4089   12   -3  -17 1 1 1
   4090   13   -3  -17 1 1 1
   4091   14   -3  -17 1 1 1
   4092   15   -3  -17 1 1 1
   4093   16   -3  -17 1 1 1
   4094   17   -3  -17 1 1 1
   4095  -17   -2  -17 1 1 1
   4096  -16   -2  -17 1 1 1
   4097  -15   -2  -17 1 1 1
   4098  -14   -2  -17 1 1 1
   4099  -13   -2  -17 1 1 1
   4100  -12   -2  -17 1 1 1
   4101  -11   -2  -17 1 1 1
   4102  -10   -2  -17 1 1 1
   4103   -9   -2  -17 1 1 1
   4104   -8   -2  -17 1 1 1
   4105   -7   -2  -17 1 1 1
   4106   -6   -2  -17 1 1 1
   4107   -5   -2  -17 1 1 1
   4108   -4   -2  -17 1 1 1
   4109   -3   -2  -17 1 1 1
   4110   -2   -2  -17 1 1 1
   4111   -1   -2  -17 1 1 1
   4112    0   -2  -17 1 1 1
   4113    1   -2  -17 1 1 1
   4114    2   -2  -17 1 1 1
   4115    3   -2  -17 1 1 1
   4116    4   -2  -17 1 1 1
   4117    5   -2  -17 1 1 1
   4118    6   -2  -17 1 1 1
   4119    7   -2  -17 1 1 1
   4120    8   -2  -17 1 1 1
   4121    9   -2  -17 1 1 1
   4122   10   -2  -17 1 1 1
   4123   11   -2  -17 1 1 1
   4124   12   -2  -17 1 1 1
   4125   13   -2  -17 1 1 1
   4126   14   -2  -17 1 1 1
   4127   15   -2  -17 1 1 1
   4128   16   -2  -17 1 1 1
   4129   17   -2  -17 1 1 1
   4130  -17   -1  -17 1 1 1
   4131  -16   -1  -17 1 1 1
   4132  -15   -1  -17 1 1 1
   4133  -14   -1  -17 1 1 1
   4134  -13   -1  -17 1 1 1
   4135  -12   -1  -17 1 1 1
   4136  -11   -1  -17 1 1 1
   4137  -10   -1  -17 1 1 1
   4138   -9   -1  -17 1 1 1
   4139   -8   -1  -17 1 1 1
   4140   -7   -1  -17 1 1 1
   4141   -6   -1  -17 1 1 1
   4142   -5   -1  -17 1 1 1
   4143   -4   -1  -17 1 1 1
   4144   -3   -1  -17 1 1 1
   4145   -2   -1  -17 1 1 1
   4146   -1   -1  -17 1 1 1
   4147    0   -1  -17 1 1 1
   4148    1   -1  -17 1 1 1
   4149    2   -1  -17 1 1 1
   4150    3   -1  -17 1 1 1
   4151    4   -1  -17 1 1 1
   4152    5   -1  -17 1 1 1
   4153    6   -1  -17 1 1 1
   4154    7   -1  -17 1 1 1
   4155    8   -1  -17 1 1 1
   4156    9   -1  -17 1 1 1
   4157   10   -1  -17 1 1 1
   4158   11   -1  -17 1 1 1
   4159   12   -1  -17 1 1 1
   4160   13   -1  -17 1 1 1
   4161   14   -1  -17 1 1 1
   4162   15   -1  -17 1 1 1
   4163   16   -1  -17 1 1 1
   4164   17   -1  -17 1 1 1
   4165  -17    0  -17 1 1 1
   4166  -16    0  -17 1 1 1
   4167  -15    0  -17 1 1 1
   4168  -14    0  -17 1 1 1
   4169  -13    0  -17 1 1 1
   4170  -12    0  -17 1 1 1
   4171  -11    0  -17 1 1 1
   4172  -10    0  -17 1 1 1
   4173   -9    0  -17 1 1 1
   4174   -8    0  -17 1 1 1
   4175   -7    0  -17 1 1 1
   4176   -6    0  -17 1 1 1
   4177   -5    0  -17 1 1 1
   4178   -4    0  -17 1 1 1
   4179   -3    0  -17 1 1 1
   4180   -2    0  -17 1 1 1
   4181   -1    0  -17 1 1 1
   4182    0    0  -17 1 1 1
   4183    1    0  -17 1 1 1
   4184    2    0  -17 1 1 1
   4185    3    0  -17 1 1 1
   4186    4    0  -17 1 1 1
   4187    5    0  -17 1 1 1
   4188    6    0  -17 1 1 1
   4189    7    0  -17 1 1 1
   4190    8    0  -17 1 1 1
   4191    9    0  -17 1 1 1
   4192   10    0  -17 1 1 1
   4193   11    0  -17 1 1 1
   4194   12    0  -17 1 1 1
   4195   13    0  -17 1 1 1
   4196   14    0  -17 1 1 1
   4197   15    0  -17 1 1 1
   4198   16    0  -17 1 1 1
   4199   17    0  -17 1 1 1
   4200  -17    1  -17 1 1 1
   4201  -16    1  -17 1 1 1
   4202  -15    1  -17 1 1 1
   4203  -14    1  -17 1 1 1
   4204  -13    1  -17 1 1 1
   4205  -12    1  -17 1 1 1
   4206  -11    1  -17 1 1 1
   4207  -10    1  -17 1 1 1
   4208   -9    1  -17 1 1 1
   4209   -8    1  -17 1 1 1
   4210   -7    1  -17 1 1 1
   4211   -6    1  -17 1 1 1
   4212   -5    1  -17 1 1 1
   4213   -4    1  -17 1 1 1
   4214   -3    1  -17 1 1 1
   4215   -2    1  -17 1 1 1
   4216   -1    1  -17 1 1 1
   4217    0    1  -17 1 1 1
   4218    1    1  -17 1 1 1
   4219    2    1  -17 1 1 1
   4220    3    1  -17 1 1 1
   4221    4    1  -17 1 1 1
   4222    5    1  -17 1 1 1
   4223    6    1  -17 1 1 1
   4224    7    1  -17 1 1 1
   4225    8    1  -17 1 1 1
   4226    9    1  -17 1 1 1
   4227   10    1  -17 1 1 1
   4228   11    1  -17 1 1 1
   4229   12    1  -17 1 1 1
   4230   13    1  -17 1 1 1
   4231   14    1  -17 1 1 1
   4232   15    1  -17 1 1 1
   4233   16    1  -17 1 1 1
   4234   17    1  -17 1 1 1
   4235  -17    2  -17 1 1 1
   4236  -16    2  -17 1 1 1
   4237  -15    2  -17 1 1 1
   4238  -14    2  -17 1 1 1
   4239  -13    2  -17 1 1 1
   4240  -12    2  -17 1 1 1
   4241  -11    2  -17 1 1 1
   4242  -10    2  -17 1 1 1
   4243   -9    2  -17 1 1 1
   4244   -8    2  -17 1 1 1
   4245   -7    2  -17 1 1 1
   4246   -6    2  -17 1 1 1
   4247   -5    2  -17 1 1 1
   4248   -4    2  -17 1 1 1
   4249   -3    2  -17 1 1 1
   4250   -2    2  -17 1 1 1
   4251   -1    2  -17 1 1 1
   4252    0    2  -17 1 1 1
   4253    1    2  -17 1 1 1
   4254    2    2  -17 1 1 1
   4255    3    2  -17 1 1 1
   4256    4    2  -17 1 1 1
   4257    5    2  -17 1 1 1
   4258    6    2  -17 1 1 1
   4259    7    2  -17 1 1 1
   4260    8    2  -17 1 1 1
   4261    9    2  -17 1 1 1
   4262   10    2  -17 1 1 1
   4263   11    2  -17 1 1 1
   4264   12    2  -17 1 1 1
   4265   13    2  -17 1 1 1
   4266   14    2  -17 1 1 1
   4267   15    2  -17 1 1 1
   4268   16    2  -17 1 1 1
   4269   17    2  -17 1 1 1
   4270  -17    3  -17 1 1 1
   4271  -16    3  -17 1 1 1
   4272  -15    3  -17 1 1 1
   4273  -14    3  -17 1 1 1
   4274  -13    3  -17 1 1 1
   4275  -12    3  -17 1 1 1
   4276  -11    3  -17 1 1 1
   4277  -10    3  -17 1 1 1
   4278   -9    3  -17 1 1 1
   4279   -8    3  -17 1 1 1
   4280   -7    3  -17 1 1 1
   4281   -6    3  -17 1 1 1
   4282   -5    3  -17 1 1 1
   4283   -4    3  -17 1 1 1
   4284   -3    3  -17 1 1 1
   4285   -2    3  -17 1 1 1
   4286   -1    3  -17 1 1 1
   4287    0    3  -17 1 1 1
   4288    1    3  -17 1 1 1
   4289    2    3  -17 1 1 1
   4290    3    3  -17 1 1 1
   4291    4    3  -17 1 1 1
   4292    5    3  -17 1 1 1
   4293    6    3  -17 1 1 1
   4294    7    3  -17 1 1 1
   4295    8    3  -17 1 1 1
   4296    9    3  -17 1 1 1
   4297   10    3  -17 1 1 1
   4298   11    3  -17 1 1 1
   4299   12    3  -17 1 1 1
   4300   13    3  -17 1 1 1
   4301   14    3  -17 1 1 1
   4302   15    3  -17 1 1 1
   4303   16    3  -17 1 1 1
   4304   17    3  -17 1 1 1
   4305  -17    4  -17 1 1 1
   4306  -16    4  -17 1 1 1
   4307  -15    4  -17 1 1 1
   4308  -14    4  -17 1 1 1
   4309  -13    4  -17 1 1 1
   4310  -12    4  -17 1 1 1
   4311  -11    4  -17 1 1 1
   4312  -10    4  -17 1 1 1
   4313   -9    4  -17 1 1 1
   4314   -8    4  -17 1 1 1
   4315   -7    4  -17 1 1 1
   4316   -6    4  -17 1 1 1
   4317   -5    4  -17 1 1 1
   4318   -4    4  -17 1 1 1
   4319   -3    4  -17 1 1 1
   4320   -2    4  -17 1 1 1
   4321   -1    4  -17 1 1 1
   4322    0    4  -17 1 1 1
   4323    1    4  -17 1 1 1
   4324    2    4  -17 1 1 1
   4325    3    4  -17 1 1 1
   4326    4    4  -17 1 1 1
   4327    5    4  -17 1 1 1
   4328    6    4  -17 1 1 1
   4329    7    4  -17 1 1 1
   4330    8    4  -17 1 1 1
   4331    9    4  -17 1 1 1
   4332   10    4  -17 1 1 1
   4333   11    4  -17 1 1 1
   4334   12    4  -17 1 1 1
   4335   13    4  -17 1 1 1
   4336   14    4  -17 1 1 1
   4337   15    4  -17 1 1 1
   4338   16    4  -17 1 1 1
   4339   17    4  -17 1 1 1
   4340  -17    5  -17 1 1 1
   4341  -16    5  -17 1 1 1
   4342  -15    5  -17 1 1 1
   4343  -14    5  -17 1 1 1
   4344  -13    5  -17 1 1 1
   4345  -12    5  -17 1 1 1
   4346  -11    5  -17 1 1 1
   4347  -10    5  -17 1 1 1
   4348   -9    5  -17 1 1 1
   4349   -8    5  -17 1 1 1
   4350   -7    5  -17 1 1 1
   4351   -6    5  -17 1 1 1
   4352   -5    5  -17 1 1 1
   4353   -4    5  -17 1 1 1
   4354   -3    5  -17 1 1 1
   4355   -2    5  -17 1 1 1
   4356   -1    5  -17 1 1 1
   4357    0    5  -17 1 1 1
   4358    1    5  -17 1 1 1
   4359    2    5  -17 1 1 1
   4360    3    5  -17 1 1 1
   4361    4    5  -17 1 1 1
   4362    5    5  -17 1 1 1
   4363    6    5  -17 1 1 1
   4364    7    5  -17 1 1 1
   4365    8    5  -17 1 1 1
   4366    9    5  -17 1 1 1
   4367   10    5  -17 1 1 1
   4368   11    5  -17 1 1 1
   4369   12    5  -17 1 1 1
   4370   13    5  -17 1 1 1
   4371   14    5  -17 1 1 1
   4372   15    5  -17 1 1 1
   4373   16    5  -17 1 1 1
   4374   17    5  -17 1 1 1
   4375  -16    6  -17 1 1 1
   4376  -15    6  -17 1 1 1
   4377  -14    6  -17 1 1 1
   4378  -13    6  -17 1 1 1
   4379  -12    6  -17 1 1 1
   4380  -11    6  -17 1 1 1
   4381  -10    6  -17 1 1 1
   4382   -9    6  -17 1 1 1
   4383   -8    6  -17 1 1 1
   4384   -7    6  -17 1 1 1
   4385   -6    6  -17 1 1 1
   4386   -5    6  -17 1 1 1
   4387   -4    6  -17 1 1 1
   4388   -3    6  -17 1 1 1
   4389   -2    6  -17 1 1 1
   4390   -1    6  -17 1 1 1
   4391    0    6  -17 1 1 1
   4392    1    6  -17 1 1 1
   4393    2    6  -17 1 1 1
   4394    3    6  -17 1 1 1
   4395    4    6  -17 1 1 1
   4396    5    6  -17 1 1 1
   4397    6    6  -17 1 1 1
   4398    7    6  -17 1 1 1
   4399    8    6  -17 1 1 1
   4400    9    6  -17 1 1 1
   4401   10    6  -17 1 1 1
   4402   11    6  -17 1 1 1
   4403   12    6  -17 1 1 1
   4404   13    6  -17 1 1 1
   4405   14    6  -17 1 1 1
   4406   15    6  -17 1 1 1
   4407   16    6  -17 1 1 1
   4408  -16    7  -17 1 1 1
   4409  -15    7  -17 1 1 1
   4410  -14    7  -17 1 1 1
   4411  -13    7  -17 1 1 1
   4412  -12    7  -17 1 1 1
   4413  -11    7  -17 1 1 1
   4414  -10    7  -17 1 1 1
   4415   -9    7  -17 1 1 1
   4416   -8    7  -17 1 1 1
   4417   -7    7  -17 1 1 1
   4418   -6    7  -17 1 1 1
   4419   -5    7  -17 1 1 1
   4420   -4    7  -17 1 1 1
   4421   -3    7  -17 1 1 1
   4422   -2    7  -17 1 1 1
   4423   -1    7  -17 1 1 1
   4424    0    7  -17 1 1 1
   4425    1    7  -17 1 1 1
   4426    2    7  -17 1 1 1
   4427    3    7  -17 1 1 1
   4428    4    7  -17 1 1 1
   4429    5    7  -17 1 1 1
   4430    6    7  -17 1 1 1
   4431    7    7  -17 1 1 1
   4432    8    7  -17 1 1 1
   4433    9    7  -17 1 1 1
   4434   10    7  -17 1 1 1
   4435   11    7  -17 1 1 1
   4436   12    7  -17 1 1 1
   4437   13    7  -17 1 1 1
   4438   14    7  -17 1 1 1
   4439   15    7  -17 1 1 1
   4440   16    7  -17 1 1 1
   4441  -16    8  -17 1 1 1
   4442  -15    8  -17 1 1 1
   4443  -14    8  -17 1 1 1
   4444  -13    8  -17 1 1 1
   4445  -12    8  -17 1 1 1
   4446  -11    8  -17 1 1 1
   4447  -10    8  -17 1 1 1
   4448   -9    8  -17 1 1 1
   4449   -8    8  -17 1 1 1
   4450   -7    8  -17 1 1 1
   4451   -6    8  -17 1 1 1
   4452   -5    8  -17 1 1 1
   4453   -4    8  -17 1 1 1
   4454   -3    8  -17 1 1 1
   4455   -2    8  -17 1 1 1
   4456   -1    8  -17 1 1 1
   4457    0    8  -17 1 1 1
   4458    1    8  -17 1 1 1
   4459    2    8  -17 1 1 1
   4460    3    8  -17 1 1 1
   4461    4    8  -17 1 1 1
   4462    5    8  -17 1 1 1
   4463    6    8  -17 1 1 1
   4464    7    8  -17 1 1 1
   4465    8    8  -17 1 1 1
   4466    9    8  -17 1 1 1
   4467   10    8  -17 1 1 1
   4468   11    8  -17 1 1 1
   4469   12    8  -17 1 1 1
   4470   13    8  -17 1 1 1
   4471   14    8  -17 1 1 1
   4472   15    8  -17 1 1 1
   4473   16    8  -17 1 1 1
   4474  -15    9  -17 1 1 1
   4475  -14    9  -17 1 1 1
   4476  -13    9  -17 1 1 1
   4477  -12    9  -17 1 1 1
   4478  -11    9  -17 1 1 1
   4479  -10    9  -17 1 1 1
   4480   -9    9  -17 1 1 1
   4481   -8    9  -17 1 1 1
   4482   -7    9  -17 1 1 1
   4483   -6    9  -17 1 1 1
   4484   -5    9  -17 1 1 1
   4485   -4    9  -17 1 1 1
   4486   -3    9  -17 1 1 1
   4487   -2    9  -17 1 1 1
   4488   -1    9  -17 1 1 1
   4489    0    9  -17 1 1 1
   4490    1    9  -17 1 1 1
   4491    2    9  -17 1 1 1
   4492    3    9  -17 1 1 1
   4493    4    9  -17 1 1 1
   4494    5    9  -17 1 1 1
   4495    6    9  -17 1 1 1
   4496    7    9  -17 1 1 1
   4497    8    9  -17 1 1 1
   4498    9    9  -17 1 1 1
   4499   10    9  -17 1 1 1
   4500   11    9  -17 1 1 1
   4501   12    9  -17 1 1 1
   4502   13    9  -17 1 1 1
   4503   14    9  -17 1 1 1
   4504   15    9  -17 1 1 1
   4505  -14   10  -17 1 1 1
   4506  -13   10  -17 1 1 1
   4507  -12   10  -17 1 1 1
   4508  -11   10  -17 1 1 1
   4509  -10   10  -17 1 1 1
   4510   -9   10  -17 1 1 1
   4511   -8   10  -17 1 1 1
   4512   -7   10  -17 1 1 1
   4513   -6   10  -17 1 1 1
   4514   -5   10  -17 1 1 1
   4515   -4   10  -17 1 1 1
   4516   -3   10  -17 1 1 1
   4517   -2   10  -17 1 1 1
   4518   -1   10  -17 1 1 1
   4519    0   10  -17 1 1 1
   4520    1   10  -17 1 1 1
   4521    2   10  -17 1 1 1
   4522    3   10  -17 1 1 1
   4523    4   10  -17 1 1 1
   4524    5   10  -17 1 1 1
   4525    6   10  -17 1 1 1
   4526    7   10  -17 1 1 1
   4527    8   10  -17 1 1 1
   4528    9   10  -17 1 1 1
   4529   10   10  -17 1 1 1
   4530   11   10  -17 1 1 1
   4531   12   10  -17 1 1 1
   4532   13   10  -17 1 1 1
   4533   14   10  -17 1 1 1
   4534  -14   11  -17 1 1 1
   4535  -13   11  -17 1 1 1
   4536  -12   11  -17 1 1 1
   4537  -11   11  -17 1 1 1
   4538  -10   11  -17 1 1 1
   4539   -9   11  -17 1 1 1
   4540   -8   11  -17 1 1 1
   4541   -7   11  -17 1 1 1
   4542   -6   11  -17 1 1 1
   4543   -5   11  -17 1 1 1
   4544   -4   11  -17 1 1 1
   4545   -3   11  -17 1 1 1
   4546   -2   11  -17 1 1 1
   4547   -1   11  -17 1 1 1
   4548    0   11  -17 1 1 1
   4549    1   11  -17 1 1 1
   4550    2   11  -17 1 1 1
   4551    3   11  -17 1 1 1
   4552    4   11  -17 1 1 1
   4553    5   11  -17 1 1 1
   4554    6   11  -17 1 1 1
   4555    7   11  -17 1 1 1
   4556    8   11  -17 1 1 1
   4557    9   11  -17 1 1 1
   4558   10   11  -17 1 1 1
   4559   11   11  -17 1 1 1
   4560   12   11  -17 1 1 1
   4561   13   11  -17 1 1 1
   4562   14   11  -17 1 1 1
   4563  -13   12  -17 1 1 1
   4564  -12   12  -17 1 1 1
   4565  -11   12  -17 1 1 1
   4566  -10   12  -17 1 1 1
   4567   -9   12  -17 1 1 1
   4568   -8   12  -17 1 1 1
   4569   -7   12  -17 1 1 1
   4570   -6   12  -17 1 1 1
   4571   -5   12  -17 1 1 1
   4572   -4   12  -17 1 1 1
   4573   -3   12  -17 1 1 1
   4574   -2   12  -17 1 1 1
   4575   -1   12  -17 1 1 1
   4576    0   12  -17 1 1 1
   4577    1   12  -17 1 1 1
   4578    2   12  -17 1 1 1
   4579    3   12  -17 1 1 1
   4580    4   12  -17 1 1 1
   4581    5   12  -17 1 1 1
   4582    6   12  -17 1 1 1
   4583    7   12  -17 1 1 1
   4584    8   12  -17 1 1 1
   4585    9   12  -17 1 1 1
   4586   10   12  -17 1 1 1
   4587   11   12  -17 1 1 1
   4588   12   12  -17 1 1 1
   4589   13   12  -17 1 1 1
   4590  -12   13  -17 1 1 1
   4591  -11   13  -17 1 1 1
   4592  -10   13  -17 1 1 1
   4593   -9   13  -17 1 1 1
   4594   -8   13  -17 1 1 1
   4595   -7   13  -17 1 1 1
   4596   -6   13  -17 1 1 1
   4597   -5   13  -17 1 1 1
   4598   -4   13  -17 1 1 1
   4599   -3   13  -17 1 1 1
   4600   -2   13  -17 1 1 1
   4601   -1   13  -17 1 1 1
   4602    0   13  -17 1 1 1
   4603    1   13  -17 1 1 1
   4604    2   13  -17 1 1 1
   4605    3   13  -17 1 1 1
   4606    4   13  -17 1 1 1
   4607    5   13  -17 1 1 1
   4608    6   13  -17 1 1 1
   4609    7   13  -17 1 1 1
   4610    8   13  -17 1 1 1
   4611    9   13  -17 1 1 1
   4612   10   13  -17 1 1 1
   4613   11   13  -17 1 1 1
   4614   12   13  -17 1 1 1
   4615  -11   14  -17 1 1 1
   4616  -10   14  -17 1 1 1
   4617   -9   14  -17 1 1 1
   4618   -8   14  -17 1 1 1
   4619   -7   14  -17 1 1 1
   4620   -6   14  -17 1 1 1
   4621   -5   14  -17 1 1 1
   4622   -4   14  -17 1 1 1
   4623   -3   14  -17 1 1 1
   4624   -2   14  -17 1 1 1
   4625   -1   14  -17 1 1 1
   4626    0   14  -17 1 1 1
   4627    1   14  -17 1 1 1
   4628    2   14  -17 1 1 1
   4629    3   14  -17 1 1 1
   4630    4   14  -17 1 1 1
   4631    5   14  -17 1 1 1
   4632    6   14  -17 1 1 1
   4633    7   14  -17 1 1 1
   4634    8   14  -17 1 1 1
   4635    9   14  -17 1 1 1
   4636   10   14  -17 1 1 1
   4637   11   14  -17 1 1 1
   4638   -9   15  -17 1 1 1
   4639   -8   15  -17 1 1 1
   4640   -7   15  -17 1 1 1
   4641   -6   15  -17 1 1 1
   4642   -5   15  -17 1 1 1
   4643   -4   15  -17 1 1 1
   4644   -3   15  -17 1 1 1
   4645   -2   15  -17 1 1 1
   4646   -1   15  -17 1 1 1
   4647    0   15  -17 1 1 1
   4648    1   15  -17 1 1 1
   4649    2   15  -17 1 1 1
   4650    3   15  -17 1 1 1
   4651    4   15  -17 1 1 1
   4652    5   15  -17 1 1 1
   4653    6   15  -17 1 1 1
   4654    7   15  -17 1 1 1
   4655    8   15  -17 1 1 1
   4656    9   15  -17 1 1 1
   4657   -8   16  -17 1 1 1
   4658   -7   16  -17 1 1 1
   4659   -6   16  -17 1 1 1
   4660   -5   16  -17 1 1 1
   4661   -4   16  -17 1 1 1
   4662   -3   16  -17 1 1 1
   4663   -2   16  -17 1 1 1
   4664   -1   16  -17 1 1 1
   4665    0   16  -17 1 1 1
   4666    1   16  -17 1 1 1
   4667    2   16  -17 1 1 1
   4668    3   16  -17 1 1 1
   4669    4   16  -17 1 1 1
   4670    5   16  -17 1 1 1
   4671    6   16  -17 1 1 1
   4672    7   16  -17 1 1 1
   4673    8   16  -17 1 1 1
   4674   -5   17  -17 1 1 1
   4675   -4   17  -17 1 1 1
   4676   -3   17  -17 1 1 1
   4677   -2   17  -17 1 1 1
   4678   -1   17  -17 1 1 1
   4679    0   17  -17 1 1 1
   4680    1   17  -17 1 1 1
   4681    2   17  -17 1 1 1
   4682    3   17  -17 1 1 1
   4683    4   17  -17 1 1 1
   4684    5   17  -17 1 1 1
   4685   -5  -18  -16 1 1 1
   4686   -4  -18  -16 1 1 1
   4687   -3  -18  -16 1 1 1
   4688   -2  -18  -16 1 1 1
   4689   -1  -18  -16 1 1 1
   4690    0  -18  -16 1 1 1
   4691    1  -18  -16 1 1 1
   4692    2  -18  -16 1 1 1
   4693    3  -18  -16 1 1 1
   4694    4  -18  -16 1 1 1
   4695    5  -18  -16 1 1 1
   4696   -8  -17  -16 1 1 1
   4697   -7  -17  -16 1 1 1
   4698   -6  -17  -16 1 1 1
   4699   -5  -17  -16 1 1 1
   4700   -4  -17  -16 1 1 1
   4701   -3  -17  -16 1 1 1
   4702   -2  -17  -16 1 1 1
   4703   -1  -17  -16 1 1 1
   4704    0  -17  -16 1 1 1
   4705    1  -17  -16 1 1 1
   4706    2  -17  -16 1 1 1
   4707    3  -17  -16 1 1 1
   4708    4  -17  -16 1 1 1
   4709    5  -17  -16 1 1 1
   4710    6  -17  -16 1 1 1
   4711    7  -17  -16 1 1 1
   4712    8  -17  -16 1 1 1
   4713  -10  -16  -16 1 1 1
   4714   -9  -16  -16 1 1 1
   4715   -8  -16  -16 1 1 1
   4716   -7  -16  -16 1 1 1
   4717   -6  -16  -16 1 1 1
   4718   -5  -16  -16 1 1 1
   4719   -4  -16  -16 1 1 1
   4720   -3  -16  -16 1 1 1
   4721   -2  -16  -16 1 1 1
   4722   -1  -16  -16 1 1 1
   4723    0  -16  -16 1 1 1
   4724    1  -16  -16 1 1 1
   4725    2  -16  -16 1 1 1
   4726    3  -16  -16 1 1 1
   4727    4  -16  -16 1 1 1
   4728    5  -16  -16 1 1 1
   4729    6  -16  -16 1 1 1
   4730    7  -16  -16 1 1 1
   4731    8  -16  -16 1 1 1
   4732    9  -16  -16 1 1 1
   4733   10  -16  -16 1 1 1
   4734  -11  -15  -16 1 1 1
   4735  -10  -15  -16 1 1 1
   4736   -9  -15  -16 1 1 1
   4737   -8  -15  -16 1 1 1
   4738   -7  -15  -16 1 1 1
   4739   -6  -15  -16 1 1 1
   4740   -5  -15  -16 1 1 1
   4741   -4  -15  -16 1 1 1
   4742   -3  -15  -16 1 1 1
   4743   -2  -15  -16 1 1 1
   4744   -1  -15  -16 1 1 1
   4745    0  -15  -16 1 1 1
   4746    1  -15  -16 1 1 1
   4747    2  -15  -16 1 1 1
   4748    3  -15  -16 1 1 1
   4749    4  -15  -16 1 1 1
   4750    5  -15  -16 1 1 1
   4751    6  -15  -16 1 1 1
   4752    7  -15  -16 1 1 1
   4753    8  -15  -16 1 1 1
   4754    9  -15  -16 1 1 1
   4755   10  -15  -16 1 1 1
   4756   11  -15  -16 1 1 1
   4757  -12  -14  -16 1 1 1
   4758  -11  -14  -16 1 1 1
   4759  -10  -14  -16 1 1 1
   4760   -9  -14  -16 1 1 1
   4761   -8  -14  -16 1 1 1
   4762   -7  -14  -16 1 1 1
   4763   -6  -14  -16 1 1 1
   4764   -5  -14  -16 1 1 1
   4765   -4  -14  -16 1 1 1
   4766   -3  -14  -16 1 1 1
   4767   -2  -14  -16 1 1 1
   4768   -1  -14  -16 1 1 1
   4769    0  -14  -16 1 1 1
   4770    1  -14  -16 1 1 1
   4771    2  -14  -16 1 1 1
   4772    3  -14  -16 1 1 1
   4773    4  -14  -16 1 1 1
   4774    5  -14  -16 1 1 1
   4775    6  -14  -16 1 1 1
   4776    7  -14  -16 1 1 1
   4777    8  -14  -16 1 1 1
   4778    9  -14  -16 1 1 1
   4779   10  -14  -16 1 1 1
   4780   11  -14  -16 1 1 1
   4781   12  -14  -16 1 1 1
   4782  -13  -13  -16 1 1 1
   4783  -12  -13  -16 1 1 1
   4784  -11  -13  -16 1 1 1
   4785  -10  -13  -16 1 1 1
   4786   -9  -13  -16 1 1 1
   4787   -8  -13  -16 1 1 1
   4788   -7  -13  -16 1 1 1
   4789   -6  -13  -16 1 1 1
   4790   -5  -13  -16 1 1 1
   4791   -4  -13  -16 1 1 1
   4792   -3  -13  -16 1 1 1
   4793   -2  -13  -16 1 1 1
